site,edition,classification,t,n,m,grade,location,stage,note,source_pdf_page,source_site,raw_line,extract_method,needs_review
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,TX|T0,NX|N0|,M1,Any,Any,IV,"source_page=84; extract_method=tnm_stage; extra_factors/raw_extra=MIB1 antibody; % of 500-2,000 tumor cells in areas of highest",84,Neuroendocrine Tumors of the Jejunum and Ileum,"TX, T0 NX, N0, M1 IV MIB1 antibody; % of 500-2,000 tumor cells in areas of highest",tnm_stage,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T1,N0,M0,Any,Any,IV,source_page=84; extract_method=stage_carried; extra_factors/raw_extra=I,84,Neuroendocrine Tumors of the Jejunum and Ileum,T1 N0 M0 I,stage_carried,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T1,N0,M0,Any,Any,I,source_page=84; extract_method=tnm_stage,84,Neuroendocrine Tumors of the Jejunum and Ileum,T1 N0 M0 I,tnm_stage,check
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T1,N1|N2,M0,Any,Any,I,source_page=84; extract_method=stage_carried; extra_factors/raw_extra=III | In cases of disparity between Ki-67 proliferative index,84,Neuroendocrine Tumors of the Jejunum and Ileum,"T1 N1, N2 M0 III In cases of disparity between Ki-67 proliferative index",stage_carried,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T1,N1|N2,M0,Any,Any,III,source_page=84; extract_method=tnm_stage; extra_factors/raw_extra=In cases of disparity between Ki-67 proliferative index,84,Neuroendocrine Tumors of the Jejunum and Ileum,"T1 N1, N2 M0 III In cases of disparity between Ki-67 proliferative index",tnm_stage,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T1,NX|N0|,M1,Any,Any,III,"source_page=84; extract_method=stage_carried; extra_factors/raw_extra=IV | and mitotic count, the result indicating a higher-grade tumor",84,Neuroendocrine Tumors of the Jejunum and Ileum,"T1 NX, N0, M1 IV and mitotic count, the result indicating a higher-grade tumor",stage_carried,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T1,NX|N0|,M1,Any,Any,IV,"source_page=84; extract_method=tnm_stage; extra_factors/raw_extra=and mitotic count, the result indicating a higher-grade tumor",84,Neuroendocrine Tumors of the Jejunum and Ileum,"T1 NX, N0, M1 IV and mitotic count, the result indicating a higher-grade tumor",tnm_stage,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T2,N0,M0,Any,Any,IV,source_page=84; extract_method=stage_carried; extra_factors/raw_extra=II | count of 1 per 10 HPF and a Ki-67 of 12% should be desig-,84,Neuroendocrine Tumors of the Jejunum and Ileum,T2 N0 M0 II count of 1 per 10 HPF and a Ki-67 of 12% should be desig-,stage_carried,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T2,N0,M0,Any,Any,II,source_page=84; extract_method=tnm_stage; extra_factors/raw_extra=count of 1 per 10 HPF and a Ki-67 of 12% should be desig-,84,Neuroendocrine Tumors of the Jejunum and Ileum,T2 N0 M0 II count of 1 per 10 HPF and a Ki-67 of 12% should be desig-,tnm_stage,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T2,N1|N2,M0,Any,Any,II,source_page=84; extract_method=stage_carried; extra_factors/raw_extra=III | nated as a G2 NET.,84,Neuroendocrine Tumors of the Jejunum and Ileum,"T2 N1, N2 M0 III nated as a G2 NET.",stage_carried,YES
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,any,T2,N1|N2,M0,Any,Any,III,source_page=84; extract_method=tnm_stage; extra_factors/raw_extra=nated as a G2 NET.,84,Neuroendocrine Tumors of the Jejunum and Ileum,"T2 N1, N2 M0 III nated as a G2 NET.",tnm_stage,YES
Neuroendocrine Tumors of the Appendix,AJCC8,yp,TX|T0,NX|N0|N1,M1,Any,Any,IV,source_page=87; extract_method=tnm_stage,87,Neuroendocrine Tumors of the Appendix,"TX, T0 NX, N0, N1 M1 IV",tnm_stage,check
Neuroendocrine Tumors of the Appendix,AJCC8,yp,T1,N0,M0,Any,Any,IV,source_page=87; extract_method=stage_carried; extra_factors/raw_extra=I,87,Neuroendocrine Tumors of the Appendix,T1 N0 M0 I,stage_carried,YES
