site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Larynx,AJCC8,clinical,N,N2,"Metastasis in a single ipsilateral lymph node, 3 cm or smaller in greatest dimension and ENE(+); or larger than 3 cm but not larger than 6 cm in greatest dimension and ENE(−); or metastases in multiple ipsilateral lymph nodes, none larger than 6 cm in greatest dimension and ENE(−); or in bilateral or contralateral lymph node(s), none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,clinical,N,N2a,"Metastasis in a single ipsilateral node, 3 cm or smaller in greatest dimension and ENE(+); or metastasis in a single ipsilateral node, larger than 3 cm but not larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,clinical,N,N2b,"Metastases in multiple ipsilateral nodes, none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,clinical,N,N2c,"Metastasis in bilateral or contralateral lymph node(s), none larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,clinical,N,N3,"Metastasis in a lymph node, larger than 6 cm in greatest dimension and ENE(−); or metastasis in a single ipsilateral node, larger than 3 cm in greatest dimension and ENE(+); or multiple ipsilateral, contralateral, or bilateral lymph nodes any with ENE(+); or a single contralateral node of any size and ENE(+)",,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,clinical,N,N3a,"Metastasis in a lymph node, larger than 6 cm in greatest dimension and ENE(−)",,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,any,N,N3b,"Metastasis in a single ipsilateral node, larger than 3 cm in greatest dimension and ENE(+); or multiple ipsilateral, contralateral, or bilateral lymph nodes any with ENE(+); or a single contralateral node of any size and ENE(+) indicate metastasis above the lower border of the cricoid (U) or below the lower border of the cricoid (L) Similarly, clinical and pathological ENE should be recorded as ENE(−) or ENE(+)",,strict_table_extracted_v1_6,49,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Larynx,AJCC8,any,M,M0,No distant metastasis,,strict_table_extracted_v1_6,49,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Larynx,AJCC8,any,M,M1,Distant metastasis,,strict_table_extracted_v1_6,49,Definition of Distant Metastasis (M),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,56,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T,Tis,Carcinoma in situ,,strict_table_extracted_v1_6,56,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T,T1,Tumor smaller than or equal to 2 cm in greatest dimension,,strict_table_extracted_v1_6,56,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T,T2,"Tumor larger than 2 cm, but smaller than or equal to 4 cm in greatest dimension",,strict_table_extracted_v1_6,56,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T,T3,Tumor larger than 4 cm in maximum dimension or minor bone erosion or perineural invasion or deep invasion*,,strict_table_extracted_v1_6,56,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T,T4,"Tumor with gross cortical bone/marrow, skull base invasion and/or skull base foramen invasion",,strict_table_extracted_v1_6,56,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Cutaneous Carcinoma of the Head and Neck,AJCC8,any,T,T4a,Tumor with gross cortical bone/marrow invasion,,strict_table_extracted_v1_6,56,Definition of Primary Tumor (T),strict_table_extraction_v1_6
