edition,source_pdf_page,site,source_site,line_no,raw_line,columns_json
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,23,"potential and involve buccinator, submandibular, jugular, and lymph node with desmoplastic reaction in the surrounding","[""potential and involve buccinator, submandibular, jugular, and"", ""lymph node with desmoplastic reaction in the surrounding""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,24,occasionally retropharyngeal nodes. Other oral cancers spread stromal tissue. The absence of ECS on histopathologic exami-,"[""occasionally retropharyngeal nodes. Other oral cancers spread"", ""stromal tissue. The absence of ECS on histopathologic exami-""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,25,primarily to submandibular and jugular nodes and uncom- nation is designated En.,"[""primarily to submandibular and jugular nodes and uncom-"", ""nation is designated En.""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,26,monly to posterior triangle/supraclavicular nodes. Cancer of,"[""monly to posterior triangle/supraclavicular nodes. Cancer of""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,27,the anterior oral tongue may occasionally spread directly to Distant Metastases. The lungs are the commonest site,"[""the anterior oral tongue may occasionally spread directly to"", ""Distant Metastases. The lungs are the commonest site""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,28,"lower jugular nodes. The closer to the midline is the primary, of distant metastases; skeletal and hepatic metastases occur","[""lower jugular nodes. The closer to the midline is the primary,"", ""of distant metastases; skeletal and hepatic metastases occur""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,29,the greater is the risk of bilateral cervical nodal spread. The less often. Mediastinal lymph node metastases are considered,"[""the greater is the risk of bilateral cervical nodal spread. The"", ""less often. Mediastinal lymph node metastases are considered""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,30,"patterns of regional lymph node metastases are predictable, distant metastases, except level VII lymph nodes (anterior","[""patterns of regional lymph node metastases are predictable,"", ""distant metastases, except level VII lymph nodes (anterior""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,31,and sequential progression of disease occurs beyond first superior mediastinal lymph nodes cephalad to the innomi-,"[""and sequential progression of disease occurs beyond first"", ""superior mediastinal lymph nodes cephalad to the innomi-""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,32,"echelon lymph nodes. Any previous treatment to the neck, nate artery).","[""echelon lymph nodes. Any previous treatment to the neck,"", ""nate artery).""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,33,"surgical and/or radiation, may alter normal lymphatic drain-","[""surgical and/or radiation, may alter normal lymphatic drain-""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,34,"age patterns, resulting in unusual distribution of regional","[""age patterns, resulting in unusual distribution of regional""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,35,"spread of disease to the cervical lymph nodes. In general, RULES FOR CLASSIFICATION","[""spread of disease to the cervical lymph nodes. In general,"", ""RULES FOR CLASSIFICATION""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,36,cervical lymph node involvement from oral cavity primary,"[""cervical lymph node involvement from oral cavity primary""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,37,"sites is predictable and orderly, spreading from the primary to Clinical Staging. The assessment of the primary tumor","[""sites is predictable and orderly, spreading from the primary to"", ""Clinical Staging. The assessment of the primary tumor""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,38,"upper, then middle, and subsequently lower cervical nodes. is based on inspection and palpation of the oral cavity and","[""upper, then middle, and subsequently lower cervical nodes."", ""is based on inspection and palpation of the oral cavity and""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,39,"However, disease in the anterior oral cavity may also spread neck. Physical signs of deep muscle invasion, fixation to","[""However, disease in the anterior oral cavity may also spread"", ""neck. Physical signs of deep muscle invasion, fixation to""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,40,"directly to the mid-cervical lymph nodes. The risk of distant bone, and cranial neuropathies should be assessed. Addi-","[""directly to the mid-cervical lymph nodes. The risk of distant"", ""bone, and cranial neuropathies should be assessed. Addi-""]"
AJCC7,47,Lip and Oral Cavity,Lip and Oral Cavity,41,"metastasis is more dependent on the N than on the T status tional studies may include CT, MRI, or ultra-sound. Clini-","[""metastasis is more dependent on the N than on the T status"", ""tional studies may include CT, MRI, or ultra-sound. Clini-""]"
