map_id,v5_term,v5_soc,v5_page,v6_term,v6_soc,v6_page,map_type,change_flag,changed_fields,possible_counterpart_term,mapping_note
M0067,Avascular necrosis,Musculoskeletal and connective tissue disorders,95,-,-,-,v5_only,v5 only,-,-,-
M0068,Azoospermia,Reproductive system and breast disorders,123,Azoospermia,Reproductive system and breast disorders,251,exact_term,Same,-,-,Exact same AE term in both versions.
M0069,Back pain,Musculoskeletal and connective tissue disorders,95,Back pain,Musculoskeletal and connective tissue disorders,184,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0070,Bacteremia,Infections and infestations,53,Bacteremia,Infections and infestations,105,exact_term,Changed,note,-,Exact same AE term in both versions.
M0071,Belching,Gastrointestinal disorders,25,Belching,Gastrointestinal disorders,47,exact_term,Same,-,-,Exact same AE term in both versions.
M0072,Bile duct stenosis,Hepatobiliary disorders,48,Bile duct stenosis,Hepatobiliary disorders,92,exact_term,Same,-,-,Exact same AE term in both versions.
M0073,Biliary anastomotic leak,"Injury, poisoning and procedural complications",70,Biliary anastomotic leak,"Injury, poisoning and procedural complications",134,exact_term,Same,-,-,Exact same AE term in both versions.
M0074,Biliary fistula,Hepatobiliary disorders,48,Biliary fistula,Hepatobiliary disorders,92,exact_term,Same,-,-,Exact same AE term in both versions.
M0075,-,-,-,Biliary obstruction,Hepatobiliary disorders,92,v6_only,v6 only,-,-,-
M0076,Biliary tract infection,Infections and infestations,54,Biliary tract infection,Infections and infestations,105,exact_term,Same,-,-,Exact same AE term in both versions.
M0077,Bladder anastomotic leak,"Injury, poisoning and procedural complications",70,Bladder anastomotic leak,"Injury, poisoning and procedural complications",134,exact_term,Same,-,-,Exact same AE term in both versions.
M0078,Bladder infection,Infections and infestations,54,Bladder infection,Infections and infestations,105,exact_term,Same,-,-,Exact same AE term in both versions.
M0079,Bladder perforation,Renal and urinary disorders,119,Bladder perforation,Renal and urinary disorders,241,exact_term,Same,-,-,Exact same AE term in both versions.
M0080,Bladder spasm,Renal and urinary disorders,119,Bladder spasm,Renal and urinary disorders,241,exact_term,Same,-,-,Exact same AE term in both versions.
M0081,Bloating,Gastrointestinal disorders,25,Bloating,Gastrointestinal disorders,47,exact_term,Same,-,-,Exact same AE term in both versions.
M0082,"Blood and lymphatic system disorders - Other, specify",Blood and lymphatic system disorders,5,"Blood and lymphatic system disorders - Other, specify",Blood and lymphatic system disorders,5,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0083,Blood antidiuretic hormone abnormal,Investigations,84,Blood antidiuretic hormone abnormal,Investigations,163,exact_term,Changed,definition,-,Exact same AE term in both versions.
M0084,Blood bicarbonate decreased,Investigations,84,Blood bicarbonate decreased,Investigations,163,exact_term,Changed,note,-,Exact same AE term in both versions.
M0085,Blood bilirubin increased,Investigations,85,Blood bilirubin increased,Investigations,164,exact_term,Changed,g1; g2; g3; g4; definition; note,-,Exact same AE term in both versions.
M0086,Blood corticotrophin decreased,Investigations,85,Blood corticotrophin decreased,Investigations,164,exact_term,Changed,definition,-,Exact same AE term in both versions.
M0087,Blood gonadotrophin abnormal,Investigations,85,Blood gonadotrophin abnormal,Investigations,164,exact_term,Changed,g2; g3,-,Exact same AE term in both versions.
M0088,Blood lactate dehydrogenase increased,Investigations,85,Blood lactate dehydrogenase increased,Investigations,164,exact_term,Changed,definition,-,Exact same AE term in both versions.
M0089,Blood prolactin abnormal,Investigations,85,Blood prolactin abnormal,Investigations,165,exact_term,Changed,g2,-,Exact same AE term in both versions.
M0090,Blurred vision,Eye disorders,18,Blurred vision,Eye disorders,33,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0091,Body odor,Skin and subcutaneous tissue disorders,142,Body odor,Skin and subcutaneous tissue disorders,290,exact_term,Same,-,-,Exact same AE term in both versions.
M0092,Bone infection,Infections and infestations,54,Bone infection,Infections and infestations,105,exact_term,Same,-,-,Exact same AE term in both versions.
M0093,Bone marrow hypocellular,Blood and lymphatic system disorders,4,Bone marrow hypocellular,Blood and lymphatic system disorders,5,exact_term,Changed,note,-,Exact same AE term in both versions.
M0094,Bone pain,Musculoskeletal and connective tissue disorders,95,Bone pain,Musculoskeletal and connective tissue disorders,185,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0095,Brachial plexopathy,Nervous system disorders,105,Brachial plexopathy,Nervous system disorders,208,exact_term,Changed,g1; g2; g3,-,Exact same AE term in both versions.
M0096,-,-,-,Brain fog,Nervous system disorders,208,v6_only,v6 only,-,-,-
M0097,Breast atrophy,Reproductive system and breast disorders,123,-,-,-,v5_only,v5 only,-,-,-
M0098,Breast infection,Infections and infestations,54,Breast infection,Infections and infestations,106,exact_term,Same,-,-,Exact same AE term in both versions.
M0099,Breast pain,Reproductive system and breast disorders,123,Breast pain,Reproductive system and breast disorders,251,exact_term,Changed,g2; g3; note,-,Exact same AE term in both versions.
M0100,Bronchial fistula,"Respiratory, thoracic and mediastinal disorders",131,Bronchial fistula,"Respiratory, thoracic and mediastinal disorders",269,exact_term,Same,-,-,Exact same AE term in both versions.
M0101,Bronchial infection,Infections and infestations,54,Bronchial infection,Infections and infestations,106,exact_term,Same,-,-,Exact same AE term in both versions.
M0102,Bronchial obstruction,"Respiratory, thoracic and mediastinal disorders",132,Bronchial obstruction,"Respiratory, thoracic and mediastinal disorders",269,exact_term,Same,-,-,Exact same AE term in both versions.
M0103,Bronchial stricture,"Respiratory, thoracic and mediastinal disorders",132,Bronchial stricture,"Respiratory, thoracic and mediastinal disorders",269,exact_term,Same,-,-,Exact same AE term in both versions.
M0104,Bronchopleural fistula,"Respiratory, thoracic and mediastinal disorders",132,Bronchopleural fistula,"Respiratory, thoracic and mediastinal disorders",270,exact_term,Same,-,-,Exact same AE term in both versions.
