term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Pain of skin,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the skin.,-,145
Palmar-plantar erythrodysesthesia syndrome,Skin and subcutaneous tissue disorders,CTCAE v5.0,,"Minimal skin changes or dermatitis (e.g., erythema, edema, or hyperkeratosis) without pain","Skin changes (e.g., peeling, blisters, bleeding, fissures, edema, or hyperkeratosis) with pain; limiting instrumental ADL","Severe skin changes (e.g., peeling, blisters, bleeding, fissures, edema, or hyperkeratosis) with pain; limiting self care ADL",-,-,"A disorder characterized by redness, marked discomfort, swelling, and tingling in the palms of the hands or the soles of the feet. Also known as Hand-Foot Syndrome.",-,145
Photosensitivity,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Painless erythema and erythema covering <10% BSA,Tender erythema covering 10 - 30% BSA,"Erythema covering >30% BSA and erythema with blistering; photosensitivity; oral corticosteroid therapy indicated; pain control indicated (e.g., narcotics or NSAIDs)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an increase in sensitivity of the skin to light.,-,145
Pruritus,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Mild or localized; topical intervention indicated,"Widespread and intermittent; skin changes from scratching (e.g., edema, papulation, excoriations, lichenification, oozing/crusts); oral intervention indicated; limiting instrumental ADL",Widespread and constant; limiting self care ADL or sleep; systemic corticosteroid or immunosuppressive therapy indicated,-,-,A disorder characterized by an intense itching sensation.,-,146
Purpura,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Combined area of lesions covering <10% BSA,Combined area of lesions covering 10 - 30% BSA; bleeding with trauma,Combined area of lesions covering >30% BSA; spontaneous bleeding,-,-,A disorder characterized by hemorrhagic areas of the skin and mucous membrane. Newer lesions appear reddish in color. Older lesions are usually a darker purple color and eventually become a brownish-yellow color.,-,146
Rash acneiform,Skin and subcutaneous tissue disorders,CTCAE v5.0,,"Papules and/or pustules covering <10% BSA, which may or may not be associated with symptoms of pruritus or tenderness","Papules and/or pustules covering 10 - 30% BSA, which may or may not be associated with symptoms of pruritus or tenderness; associated with psychosocial impact; limiting instrumental ADL; papules and/or pustules covering > 30% BSA with or without mild symptoms",Papules and/or pustules covering >30% BSA with moderate or severe symptoms; limiting self-care ADL; associated with local superinfection with oral antibiotics indicated,"Life-threatening consequences; papules and/or pustules covering any % BSA, which may or may not be associated with symptoms of pruritus or tenderness and are associated with extensive superinfection with IV antibiotics indicated",Death,"A disorder characterized by an eruption of papules and pustules, typically appearing in face, scalp, upper chest and back.",-,146
Rash maculo-papular,Skin and subcutaneous tissue disorders,CTCAE v5.0,,"Macules/papules covering <10% BSA with or without symptoms (e.g., pruritus, burning, tightness)","Macules/papules covering 10 - 30% BSA with or without symptoms (e.g., pruritus, burning, tightness); limiting instrumental ADL; rash covering > 30% BSA with or without mild symptoms",Macules/papules covering >30% BSA with moderate or severe symptoms; limiting self care ADL,-,-,"A disorder characterized by the presence of macules (flat) and papules (elevated). Also known as morbillform rash, it is one of the most common cutaneous adverse events, frequently affecting the upper trunk, spreading centripetally and associated with pruritis.",-,146
Scalp pain,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the skin covering the top and the back of the head.,-,147
Skin atrophy,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Covering <10% BSA; associated with telangiectasias or changes in skin color,Covering 10 - 30% BSA; associated with striae or adnexal structure loss,Covering >30% BSA; associated with ulceration,-,-,A disorder characterized by the degeneration and thinning of the epidermis and dermis.,-,147
Skin hyperpigmentation,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Hyperpigmentation covering <10% BSA; no psychosocial impact,Hyperpigmentation covering >10% BSA; associated psychosocial impact,-,-,-,A disorder characterized by darkening of the skin due to excessive melanin deposition.,-,147
Skin hypopigmentation,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Hypopigmentation or depigmentation covering <10% BSA; no psychosocial impact,Hypopigmentation or depigmentation covering >10% BSA; associated psychosocial impact,-,-,-,"A disorder characterized by loss of skin pigment (e.g., vitiligo).",-,147
Skin induration,Skin and subcutaneous tissue disorders,CTCAE v5.0,,"Mild induration, able to move skin parallel to plane (sliding) and perpendicular to skin (pinching up)","Moderate induration, able to slide skin, unable to pinch skin; limiting instrumental ADL","Severe induration; unable to slide or pinch skin; limiting joint or orifice movement (e.g., mouth, anus); limiting self care ADL",Generalized; associated with signs or symptoms of impaired breathing or feeding,Death,A disorder characterized by an area of hardness in the skin.,-,147
Skin ulceration,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Combined area of ulcers <1 cm; nonblanchable erythema of intact skin with associated warmth or edema,Combined area of ulcers 1 - 2 cm; partial thickness skin loss involving skin or subcutaneous fat,Combined area of ulcers >2 cm; full-thickness skin loss involving damage to or necrosis of subcutaneous tissue that may extend down to fascia,"Any size ulcer with extensive destruction, tissue necrosis, or damage to muscle, bone, or supporting structures with or without full thickness skin loss",Death,"A disorder characterized by a circumscribed, erosive lesion on the skin.",-,147
Stevens-Johnson syndrome,Skin and subcutaneous tissue disorders,CTCAE v5.0,,-,-,"Skin sloughing covering <10% BSA with associated signs (e.g., erythema, purpura, epidermal detachment, and mucous membrane detachment)","Skin sloughing covering 10 - 30% BSA with associated signs (e.g., erythema, purpura, epidermal detachment and mucous membrane detachment)",Death,A disorder characterized by less than 10% total body skin area separation of dermis. The syndrome is thought to be a hypersensitivity complex affecting the skin and the mucous membranes.,-,148
Subcutaneous emphysema,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,-,-,A disorder characterized by air in the subcutaneous tissue.,-,148
Telangiectasia,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Telangiectasias covering <10% BSA,Telangiectasias covering ≥10% BSA; associated with psychosocial impact,-,-,-,A disorder characterized by local dilatation of small vessels resulting in red discoloration of the skin or mucous membranes.,-,148
Toxic epidermal necrolysis,Skin and subcutaneous tissue disorders,CTCAE v5.0,,-,-,-,"Skin sloughing covering ≥30% BSA with associated symptoms (e.g., erythema, purpura, or epidermal detachment)",Death,A disorder characterized by greater than 30% total body skin area separation of dermis. The syndrome is thought to be a hypersensitivity complex affecting the skin and the mucous membranes.,-,148
Urticaria,Skin and subcutaneous tissue disorders,CTCAE v5.0,,Urticarial lesions covering <10% BSA; topical intervention indicated,Urticarial lesions covering 10 - 30% BSA; oral intervention indicated,Urticarial lesions covering >30% BSA; IV intervention indicated,-,-,A disorder characterized by an itchy skin eruption characterized by wheals with pale interiors and well-defined red margins.,-,148
"Skin and subcutaneous tissue disorders - Other, specify",Skin and subcutaneous tissue disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,149
"Social circumstances - Other, specify",Social circumstances,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,150
"Surgical and medical procedures - Other, specify",Surgical and medical procedures,CTCAE v5.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,-,-,151
